datetime,solar_mwh_raw,wind_mwh_raw,renewable_mwh_raw,load_mw_raw,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,shortwave_radiation,wind_speed_10m,wind_direction_10m,date,hour,hour_sin,hour_cos,doy_sin,doy_cos,wind_direction_sin,wind_direction_cos,renewable_lag_1h,renewable_lag_24h,renewable_rolling_mean_24h,renewable_rolling_std_24h,forecast_renewable_raw_mwh,sigma_u_raw_mwh,renewable_scaled_mw,load_scaled_mw,forecast_renewable_scaled_mw,sigma_u_scaled_mw,sigma_heuristic_scaled_mw
2025-03-25 10:00:00,200.02241,1.91628,201.93869,51315.90592425,23.5,40,0.0,0,547.0,27.5,226,2025-03-25,10,0.49999999999999994,-0.8660254037844387,0.9922222094179323,0.12447926388678915,-0.7193398003386509,-0.6946583704589975,158.180855,210.52688700000002,79.01945054166666,98.45390324270701,208.7722228127235,115.87082833247341,153.06792461756328,166.68496117380448,158.2476882648842,87.82916843012924,15.824768826488421
2025-03-25 11:00:00,229.995275,1.99206,231.987335,48108.023763,24.3,39,0.0,0,713.0,30.2,227,2025-03-25,11,0.258819045102521,-0.9659258262890682,0.9922222094179323,0.12447926388678915,-0.7313537016191701,-0.6819983600624989,201.93869,237.69402399999998,78.661609,97.96955934441135,227.0203907881551,127.81415655804733,175.84455908874818,156.26507860781408,172.07965478933772,96.88211645368513,17.207965478933772
2025-03-25 12:00:00,244.838011,1.875146,246.713157,45335.643229166664,25.0,35,0.0,0,826.0,30.7,226,2025-03-25,12,1.2246467991473532e-16,-1.0,0.9922222094179323,0.12447926388678915,-0.7193398003386509,-0.6946583704589975,231.987335,255.410749,78.42383029166666,97.57291746950133,225.9349456941046,121.30315151173595,187.00661531397006,147.25979782171297,171.25689602115602,91.94682629401655,17.125689602115603
2025-03-25 13:00:00,241.371461,5.8554,247.226861,46472.88769525001,25.5,33,0.0,0,871.0,30.8,226,2025-03-25,13,-0.2588190451025208,-0.9659258262890683,0.9922222094179323,0.12447926388678915,-0.7193398003386509,-0.6946583704589975,246.713157,251.208291,78.061430625,96.90081958337048,216.56122282603167,127.61652588851113,187.39599886968068,150.95380938128764,164.15168846852646,96.73231397439459,16.415168846852648
2025-03-25 14:00:00,220.491763,7.926139,228.417902,47955.967447916664,25.8,31,0.0,0,849.0,32.1,225,2025-03-25,14,-0.4999999999999998,-0.8660254037844388,0.9922222094179323,0.12447926388678915,-0.7071067811865475,-0.7071067811865477,247.226861,228.827909,77.89553770833334,96.59443010127427,199.57799904592343,127.64864007808576,173.13895719853366,155.77116740193355,151.27853960667727,96.75665627526304,15.127853960667728
2025-03-25 15:00:00,178.907483,7.487579,186.39506200000002,51265.687825583336,25.5,32,0.0,0,761.0,32.4,222,2025-03-25,15,-0.7071067811865471,-0.7071067811865479,0.9922222094179323,0.12447926388678915,-0.6691306063588582,-0.7431448254773942,228.417902,186.144851,77.87845408333332,96.56660795520115,174.4726907224869,93.21053596730387,141.2859779337087,166.52184212376116,132.24891511048753,70.65284662887503,13.224891511048753
2025-03-25 16:00:00,127.180781,6.823021,134.003802,55246.69954441666,24.9,34,0.0,0,612.0,32.9,218,2025-03-25,16,-0.8660254037844384,-0.5000000000000004,0.9922222094179323,0.12447926388678915,-0.6156614753256578,-0.7880107536067222,186.39506200000002,134.234674,77.88887954166667,96.57881747213088,128.42107007624895,52.127486129278594,101.5738185832684,179.4530136939509,97.3421520845663,39.512220849503834,9.73421520845663
2025-03-25 17:00:00,61.004554,5.29209,66.296644,57624.138672,23.9,37,0.0,0,417.0,32.6,219,2025-03-25,17,-0.9659258262890683,-0.25881904510252063,0.9922222094179323,0.12447926388678915,-0.6293203910498376,-0.7771459614569708,134.003802,61.856453,77.87925987499999,96.57297249674248,66.39677788314862,19.517703372855507,50.252330081914614,187.17544091289716,50.32823077076951,14.794264281818444,5.0328230770769515
2025-03-25 18:00:00,10.3394,3.232518,13.571918,60635.75227866666,22.6,35,0.0,0,202.0,36.4,220,2025-03-25,18,-1.0,-1.8369701987210297e-16,0.9922222094179323,0.12447926388678915,-0.6427876096865393,-0.766044443118978,66.296644,12.249838,78.06426783333333,96.5451916185828,22.647247565873013,18.387585720791453,10.287406149558315,196.95780152909182,17.16643394689915,13.937644069143408,1.7166433946899151
2025-03-25 19:00:00,2.964748,4.237678,7.202426,61790.83691408334,21.9,36,0.0,0,33.0,36.4,218,2025-03-25,19,-0.9659258262890684,0.2588190451025203,0.9922222094179323,0.12447926388678915,-0.6156614753256578,-0.7880107536067222,13.571918,5.290514,78.1193545,96.50637594416102,9.890160142368678,22.23148522899024,5.459381756074469,200.70976174764664,7.496662908567536,16.85128939465513,0.7496662908567536
